feature,importance
tenure,21.855273893067633
Contract,15.686336661466518
avg_monthly_spend,11.448328430226525
MonthlyCharges,10.540890195572846
PaymentMethod,5.556327199510273
OnlineSecurity,4.380323260849771
InternetService,4.147333295773501
PaperlessBilling,3.287275238864343
security_support_count,3.028153075536738
TechSupport,2.858743421712333
OnlineBackup,2.794784092817486
StreamingMovies,2.6433937141151533
Dependents,2.4197646961390604
streaming_count,2.3925085106312167
DeviceProtection,2.133257315992346
SeniorCitizen,1.7695931956098234
Partner,1.6484916547986386
StreamingTV,1.4092221473158075
